Apr 17, 2015 21:54:41.626129000
Apr 17, 2015 21:54:41.626602000
Apr 17, 2015 21:54:41.626613000
Apr 17, 2015 21:54:41.626618000
Apr 17, 2015 21:54:41.639305000
Apr 17, 2015 21:54:41.639316000
Apr 17, 2015 21:54:41.653080000
Apr 17, 2015 21:54:41.653092000
Apr 17, 2015 21:54:41.666803000
Apr 17, 2015 21:54:41.666814000
Apr 17, 2015 21:54:41.680545000
Apr 17, 2015 21:54:41.680556000
Apr 17, 2015 21:54:41.694347000
Apr 17, 2015 21:54:41.694360000
Apr 17, 2015 21:54:41.708026000
Apr 17, 2015 21:54:41.708038000
Apr 17, 2015 21:54:41.721779000
Apr 17, 2015 21:54:41.721792000
Apr 17, 2015 21:54:41.735576000
Apr 17, 2015 21:54:41.735589000
Apr 17, 2015 21:54:41.749315000
Apr 17, 2015 21:54:41.749327000
Apr 17, 2015 21:54:41.762967000
Apr 17, 2015 21:54:41.762980000
Apr 17, 2015 21:54:41.776661000
Apr 17, 2015 21:54:41.776673000
Apr 17, 2015 21:54:41.790432000
Apr 17, 2015 21:54:41.790444000
Apr 17, 2015 21:54:41.804168000
Apr 17, 2015 21:54:41.804181000
Apr 17, 2015 21:54:41.817904000
Apr 17, 2015 21:54:41.817917000
Apr 17, 2015 21:54:41.831544000
Apr 17, 2015 21:54:41.831555000
Apr 17, 2015 21:54:41.845253000
Apr 17, 2015 21:54:41.845261000
Apr 17, 2015 21:54:41.859039000
Apr 17, 2015 21:54:41.859049000
Apr 17, 2015 21:54:41.872663000
Apr 17, 2015 21:54:41.872673000
Apr 17, 2015 21:54:41.886509000
Apr 17, 2015 21:54:41.886518000
Apr 17, 2015 21:54:41.900320000
Apr 17, 2015 21:54:41.900332000
Apr 17, 2015 21:54:41.914105000
Apr 17, 2015 21:54:41.914117000
Apr 17, 2015 21:54:41.927781000
Apr 17, 2015 21:54:41.927793000
Apr 17, 2015 21:54:41.941504000
Apr 17, 2015 21:54:41.941516000
Apr 17, 2015 21:54:41.955238000
Apr 17, 2015 21:54:41.955250000
Apr 17, 2015 21:54:41.968953000
Apr 17, 2015 21:54:41.968965000
Apr 17, 2015 21:54:41.982696000
Apr 17, 2015 21:54:41.982707000
Apr 17, 2015 21:54:41.996435000
Apr 17, 2015 21:54:41.996446000
Apr 17, 2015 21:54:42.010152000
Apr 17, 2015 21:54:42.010164000
Apr 17, 2015 21:54:42.023848000
Apr 17, 2015 21:54:42.023859000
Apr 17, 2015 21:54:42.037624000
Apr 17, 2015 21:54:42.037637000
Apr 17, 2015 21:54:42.051267000
Apr 17, 2015 21:54:42.051280000
Apr 17, 2015 21:54:42.065005000
Apr 17, 2015 21:54:42.065017000
Apr 17, 2015 21:54:42.078659000
Apr 17, 2015 21:54:42.078669000
Apr 17, 2015 21:54:42.092437000
Apr 17, 2015 21:54:42.092449000
Apr 17, 2015 21:54:42.106093000
Apr 17, 2015 21:54:42.106106000
Apr 17, 2015 21:54:42.119887000
Apr 17, 2015 21:54:42.119898000
Apr 17, 2015 21:54:42.133744000
Apr 17, 2015 21:54:42.133757000
Apr 17, 2015 21:54:42.147519000
Apr 17, 2015 21:54:42.147532000
Apr 17, 2015 21:54:42.161246000
Apr 17, 2015 21:54:42.161258000
Apr 17, 2015 21:54:42.174963000
Apr 17, 2015 21:54:42.174975000
Apr 17, 2015 21:54:42.188692000
Apr 17, 2015 21:54:42.188704000
Apr 17, 2015 21:54:42.202406000
Apr 17, 2015 21:54:42.202418000
Apr 17, 2015 21:54:42.216082000
Apr 17, 2015 21:54:42.216093000
Apr 17, 2015 21:54:42.229831000
Apr 17, 2015 21:54:42.229842000
Apr 17, 2015 21:54:42.243603000
Apr 17, 2015 21:54:42.243615000
Apr 17, 2015 21:54:42.257319000
Apr 17, 2015 21:54:42.257331000
Apr 17, 2015 21:54:42.271057000
Apr 17, 2015 21:54:42.271069000
Apr 17, 2015 21:54:42.284795000
Apr 17, 2015 21:54:42.284808000
Apr 17, 2015 21:54:42.298533000
Apr 17, 2015 21:54:42.298546000
Apr 17, 2015 21:54:42.312229000
Apr 17, 2015 21:54:42.312242000
Apr 17, 2015 21:54:42.325888000
Apr 17, 2015 21:54:42.325905000
Apr 17, 2015 21:54:42.339514000
Apr 17, 2015 21:54:42.339525000
Apr 17, 2015 21:54:42.353265000
Apr 17, 2015 21:54:42.353276000
Apr 17, 2015 21:54:42.367131000
Apr 17, 2015 21:54:42.367143000
Apr 17, 2015 21:54:42.380878000
Apr 17, 2015 21:54:42.380889000
Apr 17, 2015 21:54:42.394604000
Apr 17, 2015 21:54:42.394616000
Apr 17, 2015 21:54:42.408372000
Apr 17, 2015 21:54:42.408382000
Apr 17, 2015 21:54:42.422153000
