20150416185831,10.10.1.1,55265,10.10.1.2,5001,3,0.0-1.0,13369344,106954752
20150416185832,10.10.1.1,55265,10.10.1.2,5001,3,1.0-2.0,12582912,100663296
20150416185833,10.10.1.1,55265,10.10.1.2,5001,3,2.0-3.0,12582912,100663296
20150416185834,10.10.1.1,55265,10.10.1.2,5001,3,3.0-4.0,12451840,99614720
20150416185835,10.10.1.1,55265,10.10.1.2,5001,3,4.0-5.0,12845056,102760448
20150416185836,10.10.1.1,55265,10.10.1.2,5001,3,5.0-6.0,12582912,100663296
20150416185837,10.10.1.1,55265,10.10.1.2,5001,3,6.0-7.0,12451840,99614720
20150416185838,10.10.1.1,55265,10.10.1.2,5001,3,7.0-8.0,12582912,100663296
20150416185839,10.10.1.1,55265,10.10.1.2,5001,3,8.0-9.0,12451840,99614720
20150416185840,10.10.1.1,55265,10.10.1.2,5001,3,9.0-10.0,12582912,100663296
20150416185840,10.10.1.1,55265,10.10.1.2,5001,3,0.0-10.0,126615552,101161801
