1	Apr 17, 2015 13:55:55.331969000
2	Apr 17, 2015 13:55:55.339644000
3	Apr 17, 2015 13:55:55.347317000
4	Apr 17, 2015 13:55:55.354960000
5	Apr 17, 2015 13:55:55.362510000
6	Apr 17, 2015 13:55:55.370225000
7	Apr 17, 2015 13:55:55.379628000
8	Apr 17, 2015 13:55:55.385394000
9	Apr 17, 2015 13:55:55.393067000
10	Apr 17, 2015 13:55:55.405223000
11	Apr 17, 2015 13:55:55.408234000
12	Apr 17, 2015 13:55:55.415942000
13	Apr 17, 2015 13:55:55.423637000
14	Apr 17, 2015 13:55:55.431212000
15	Apr 17, 2015 13:55:55.438879000
16	Apr 17, 2015 13:55:55.446500000
17	Apr 17, 2015 13:55:55.454144000
18	Apr 17, 2015 13:55:55.461750000
19	Apr 17, 2015 13:55:55.469416000
20	Apr 17, 2015 13:55:55.477022000
21	Apr 17, 2015 13:55:55.484642000
22	Apr 17, 2015 13:55:55.492261000
23	Apr 17, 2015 13:55:55.499912000
24	Apr 17, 2015 13:55:55.507554000
25	Apr 17, 2015 13:55:55.515208000
26	Apr 17, 2015 13:55:55.522758000
27	Apr 17, 2015 13:55:55.530427000
28	Apr 17, 2015 13:55:55.538061000
29	Apr 17, 2015 13:55:55.545678000
30	Apr 17, 2015 13:55:55.553346000
31	Apr 17, 2015 13:55:55.560915000
32	Apr 17, 2015 13:55:55.568569000
33	Apr 17, 2015 13:55:55.576177000
34	Apr 17, 2015 13:55:55.583783000
35	Apr 17, 2015 13:55:55.591444000
36	Apr 17, 2015 13:55:55.599104000
37	Apr 17, 2015 13:55:55.606716000
38	Apr 17, 2015 13:55:55.614277000
39	Apr 17, 2015 13:55:55.621980000
40	Apr 17, 2015 13:55:55.629597000
41	Apr 17, 2015 13:55:55.637219000
42	Apr 17, 2015 13:55:55.644851000
43	Apr 17, 2015 13:55:55.652468000
44	Apr 17, 2015 13:55:55.660112000
45	Apr 17, 2015 13:55:55.667750000
46	Apr 17, 2015 13:55:55.675371000
47	Apr 17, 2015 13:55:55.682990000
48	Apr 17, 2015 13:55:55.690627000
49	Apr 17, 2015 13:55:55.698316000
50	Apr 17, 2015 13:55:55.705904000
51	Apr 17, 2015 13:55:55.713505000
52	Apr 17, 2015 13:55:55.721999000
53	Apr 17, 2015 13:55:55.728653000
54	Apr 17, 2015 13:55:55.736369000
55	Apr 17, 2015 13:55:55.743988000
56	Apr 17, 2015 13:55:55.751625000
57	Apr 17, 2015 13:55:55.759170000
58	Apr 17, 2015 13:55:55.766891000
59	Apr 17, 2015 13:55:55.774521000
60	Apr 17, 2015 13:55:55.782193000
61	Apr 17, 2015 13:55:55.789839000
62	Apr 17, 2015 13:55:55.797481000
63	Apr 17, 2015 13:55:55.805080000
64	Apr 17, 2015 13:55:55.812685000
65	Apr 17, 2015 13:55:55.820347000
66	Apr 17, 2015 13:55:55.827968000
67	Apr 17, 2015 13:55:55.835595000
68	Apr 17, 2015 13:55:55.843184000
69	Apr 17, 2015 13:55:55.850807000
70	Apr 17, 2015 13:55:55.858452000
71	Apr 17, 2015 13:55:55.866089000
72	Apr 17, 2015 13:55:55.873736000
73	Apr 17, 2015 13:55:55.881421000
74	Apr 17, 2015 13:55:55.888931000
75	Apr 17, 2015 13:55:55.896607000
76	Apr 17, 2015 13:55:55.904204000
77	Apr 17, 2015 13:55:55.911871000
78	Apr 17, 2015 13:55:55.919521000
79	Apr 17, 2015 13:55:55.927130000
80	Apr 17, 2015 13:55:55.934779000
81	Apr 17, 2015 13:55:55.942398000
82	Apr 17, 2015 13:55:55.950034000
83	Apr 17, 2015 13:55:55.957716000
84	Apr 17, 2015 13:55:55.965271000
85	Apr 17, 2015 13:55:55.972917000
86	Apr 17, 2015 13:55:55.980540000
87	Apr 17, 2015 13:55:55.988157000
88	Apr 17, 2015 13:55:55.995776000
89	Apr 17, 2015 13:55:56.003452000
90	Apr 17, 2015 13:55:56.011048000
91	Apr 17, 2015 13:55:56.018644000
92	Apr 17, 2015 13:55:56.026301000
93	Apr 17, 2015 13:55:56.033932000
94	Apr 17, 2015 13:55:56.041542000
95	Apr 17, 2015 13:55:56.049150000
96	Apr 17, 2015 13:55:56.056818000
97	Apr 17, 2015 13:55:56.064445000
98	Apr 17, 2015 13:55:56.072080000
99	Apr 17, 2015 13:55:56.079725000
100	Apr 17, 2015 13:55:56.087366000
101	Apr 17, 2015 13:55:56.094974000
102	Apr 17, 2015 13:55:56.102554000
103	Apr 17, 2015 13:55:56.110225000
104	Apr 17, 2015 13:55:56.117866000
105	Apr 17, 2015 13:55:56.126711000
