6.069803	2	4	5	1	0	0	3840	78	75	14480	83500	9000	1448	536	280000	40000	57	0	0	0	0	0
7.009835	2	5	5	1	0	0	4780	78	75	14480	83000	9000	1448	536	280000	40000	57	0	0	0	0	0
8.106864	2	6	5	1	0	0	5876	79	75	14480	84000	10000	1448	536	284000	40000	56	0	0	0	0	0
9.046976	2	7	5	1	0	0	6816	80	75	14480	83500	10000	1448	536	280000	40000	55	0	0	0	0	0
10.143789	2	8	5	1	0	0	7912	81	75	14480	90000	13000	1448	536	288000	40000	63	0	0	0	0	0
11.083955	2	9	5	1	0	0	8852	81	75	14480	92500	10000	1448	536	292000	40000	63	0	0	0	0	0
12.024105	2	10	5	1	0	0	9792	82	75	14480	92500	12000	1448	536	292000	40000	61	0	0	0	0	0
13.121028	2	11	5	1	0	0	10892	83	75	14480	94000	14000	1448	536	292000	40000	59	0	0	0	0	0
14.037809	2	12	5	1	0	0	11808	84	75	14480	92000	11000	1448	536	292000	40000	84	0	0	0	0	0
15.144048	2	13	5	1	0	0	12912	84	75	14480	92000	11000	1448	536	292000	40000	84	0	0	0	0	0
16.080733	2	14	5	1	0	0	13852	85	75	14480	96000	9000	1448	536	296000	40000	85	0	0	0	0	0
17.024372	2	15	5	1	0	36	14792	86	75	14480	95000	10000	1448	536	292000	40000	74	0	0	0	0	0
18.169124	2	16	5	1	0	0	15940	87	75	14480	96500	8000	1448	536	296000	40000	87	0	0	0	0	0
19.009611	2	17	5	1	0	40	16780	88	75	14480	95500	8000	1448	536	292000	40000	76	0	0	0	0	0
20.106470	2	18	5	1	0	40	17876	88	75	14480	99500	8000	1448	536	296000	40000	76	0	0	0	0	0
21.060896	2	19	5	1	0	0	18832	89	75	14480	103000	6000	1448	536	300000	40000	89	0	0	0	0	0
22.004600	2	20	5	1	0	4	19776	90	75	14480	106000	3000	1448	536	304000	40000	90	0	0	0	0	0
23.097980	2	21	5	1	0	0	20868	91	75	14480	107500	3000	1448	536	304000	40000	91	0	0	0	0	0
